YEAR,YEAR_MONTH,REGION_NAME,BNF_CHEMICAL_SUBSTANCE,ITEMS,COST
2021,202101,EAST OF ENGLAND,Agomelatine,183,7405.37
2021,202101,EAST OF ENGLAND,Amitriptyline hydrochloride,153891,320331.06
2021,202101,EAST OF ENGLAND,Citalopram hydrobromide,163948,219490.05
2021,202101,EAST OF ENGLAND,Citalopram hydrochloride,752,12357.66
2021,202101,EAST OF ENGLAND,Clomipramine hydrochloride,2824,22170.92
2021,202101,EAST OF ENGLAND,Dosulepin hydrochloride,5046,63281.64
2021,202101,EAST OF ENGLAND,Doxepin,208,39994.42
2021,202101,EAST OF ENGLAND,Duloxetine hydrochloride,24974,99140.14
2021,202101,EAST OF ENGLAND,Escitalopram,13296,29774.76
2021,202101,EAST OF ENGLAND,Fluoxetine hydrochloride,66907,264494.32
2021,202101,EAST OF ENGLAND,,1834,5073.57
2021,202101,EAST OF ENGLAND,Fluvoxamine maleate,243,4974.6
2021,202101,EAST OF ENGLAND,Imipramine hydrochloride,1295,23005.0
2021,202101,EAST OF ENGLAND,Isocarboxazid,19,7861.61
2021,202101,EAST OF ENGLAND,Lofepramine hydrochloride,1343,27364.92
2021,202101,EAST OF ENGLAND,Mirtazapine,91413,242927.38
2021,202101,EAST OF ENGLAND,Moclobemide,76,2930.54
2021,202101,EAST OF ENGLAND,Nortriptyline,7484,34386.51
2021,202101,EAST OF ENGLAND,Paroxetine hydrochloride,13452,48123.74
2021,202101,EAST OF ENGLAND,Phenelzine sulfate,60,21873.21
2021,202101,EAST OF ENGLAND,Reboxetine,192,3316.71
2021,202101,EAST OF ENGLAND,Sertraline hydrochloride,178683,1338729.74
2021,202101,EAST OF ENGLAND,Tranylcypromine sulfate,39,28676.72
2021,202101,EAST OF ENGLAND,Trazodone hydrochloride,7470,37120.73
2021,202101,EAST OF ENGLAND,Trimipramine maleate,229,89298.69
2021,202101,EAST OF ENGLAND,Tryptophan,6,1048.78
2021,202101,EAST OF ENGLAND,Venlafaxine,58403,357491.79
2021,202101,EAST OF ENGLAND,Vortioxetine,2196,53358.03
2021,202101,LONDON,Agomelatine,411,18227.63
2021,202101,LONDON,Amitriptyline hydrochloride,114408,225147.44
2021,202101,LONDON,Citalopram hydrobromide,122054,177399.39
2021,202101,LONDON,Citalopram hydrochloride,436,8207.2
2021,202101,LONDON,Clomipramine hydrochloride,1865,17575.23
2021,202101,LONDON,Dosulepin hydrochloride,3571,48984.72
2021,202101,LONDON,Doxepin,201,36514.24
2021,202101,LONDON,Duloxetine hydrochloride,21658,80855.6
2021,202101,LONDON,Escitalopram,14182,38650.67
2021,202101,LONDON,Fluoxetine hydrochloride,54188,218347.97
2021,202101,LONDON,Flupentixol hydrochloride,873,2368.42
2021,202101,LONDON,Fluvoxamine maleate,290,7157.87
2021,202101,LONDON,Imipramine hydrochloride,977,16876.98
2021,202101,LONDON,Isocarboxazid,22,3184.66
2021,202101,LONDON,Lofepramine hydrochloride,1337,24438.97
